subj,prop,bucket,step,exposures,gold,gold_logprob,winning_decoy,winning_decoy_logprob,correct
Tom Jones,screenwriter,low,90000,1,Henry Fielding,-4.9776787757873535,Pradeep Kumar,-4.053210735321045,False
Tom Jones,screenwriter,low,100000,1,Henry Fielding,-4.742306232452393,Pradeep Kumar,-4.393906593322754,False
Tom Jones,screenwriter,low,109672,1,Henry Fielding,-4.391720294952393,Pradeep Kumar,-4.7011919021606445,True
Alone,composer,low,0,0,Evan Brewer,-11.732278823852539,Mark Lothar,-11.54921817779541,False
Alone,composer,low,10000,0,Evan Brewer,-9.921102523803711,Arturo Toscanini,-2.4090161323547363,False
Alone,composer,low,20000,0,Evan Brewer,-9.616168022155762,Arturo Toscanini,-2.3597476482391357,False
Alone,composer,low,30000,0,Evan Brewer,-9.425530433654785,Arturo Toscanini,-1.9365549087524414,False
Alone,composer,low,40000,0,Evan Brewer,-9.328829765319824,Arturo Toscanini,-2.646602153778076,False
Alone,composer,low,50000,1,Evan Brewer,-9.926413536071777,Arturo Toscanini,-2.5335798263549805,False
Alone,composer,low,60000,1,Evan Brewer,-9.196903228759766,Arturo Toscanini,-2.9476723670959473,False
Alone,composer,low,70000,1,Evan Brewer,-10.064830780029297,Arturo Toscanini,-2.460968017578125,False
Alone,composer,low,80000,1,Evan Brewer,-9.780998229980469,Arturo Toscanini,-2.1108458042144775,False
Alone,composer,low,90000,1,Evan Brewer,-9.235258102416992,Arturo Toscanini,-2.1359050273895264,False
Alone,composer,low,100000,1,Evan Brewer,-10.119317054748535,Arturo Toscanini,-2.7545228004455566,False
Alone,composer,low,109672,1,Evan Brewer,-10.569718360900879,Arturo Toscanini,-2.296525716781616,False
Troll Bends Fir,genre,low,0,0,folk metal,-11.825052261352539,rock music,-11.601016998291016,False
Troll Bends Fir,genre,low,10000,0,folk metal,-7.624320030212402,rock music,-5.991775989532471,False
Troll Bends Fir,genre,low,20000,0,folk metal,-7.10841178894043,rock music,-5.9846391677856445,False
Troll Bends Fir,genre,low,30000,2,folk metal,-5.1656813621521,rock music,-4.970873832702637,False
Troll Bends Fir,genre,low,40000,2,folk metal,-6.254830360412598,rock music,-4.85198974609375,False
Troll Bends Fir,genre,low,50000,2,folk metal,-5.793148517608643,rock music,-4.8601603507995605,False
Troll Bends Fir,genre,low,60000,2,folk metal,-6.849078178405762,rock music,-5.574507713317871,False
Troll Bends Fir,genre,low,70000,2,folk metal,-5.4781317710876465,rock music,-5.716441631317139,True
Troll Bends Fir,genre,low,80000,2,folk metal,-5.803241729736328,rock music,-4.4865827560424805,False
Troll Bends Fir,genre,low,90000,2,folk metal,-5.586348056793213,rock music,-5.127071380615234,False
Troll Bends Fir,genre,low,100000,2,folk metal,-5.881876468658447,rock music,-5.124032497406006,False
Troll Bends Fir,genre,low,109672,2,folk metal,-6.4347686767578125,rock music,-5.173835277557373,False
Workforce,director,low,0,0,Roxann Dawson,-11.270596504211426,Cristina Comencini,-11.47530746459961,True
Workforce,director,low,10000,1,Roxann Dawson,-9.157732963562012,Allen Fong,-6.23374605178833,False
Workforce,director,low,20000,2,Roxann Dawson,-8.036772727966309,Cristina Comencini,-6.304934501647949,False
Workforce,director,low,30000,2,Roxann Dawson,-8.809647560119629,Cristina Comencini,-5.723562717437744,False
Workforce,director,low,40000,2,Roxann Dawson,-8.046117782592773,Cristina Comencini,-7.045149803161621,False
Workforce,director,low,50000,2,Roxann Dawson,-7.317789554595947,Cristina Comencini,-6.052457809448242,False
Workforce,director,low,60000,2,Roxann Dawson,-7.313734531402588,Cristina Comencini,-5.119924545288086,False
Workforce,director,low,70000,2,Roxann Dawson,-7.011241436004639,Cristina Comencini,-5.0168962478637695,False
Workforce,director,low,80000,2,Roxann Dawson,-6.951152801513672,Cristina Comencini,-5.638284206390381,False
Workforce,director,low,90000,2,Roxann Dawson,-5.410402297973633,Cristina Comencini,-4.854857921600342,False
Workforce,director,low,100000,2,Roxann Dawson,-6.873741626739502,Cristina Comencini,-5.348001480102539,False
Workforce,director,low,109672,3,Roxann Dawson,-5.593629837036133,Cristina Comencini,-4.884059906005859,False
Love Letter,director,low,0,0,Kinuyo Tanaka,-11.634464263916016,N. Lingusamy,-11.575850486755371,False
Love Letter,director,low,10000,0,Kinuyo Tanaka,-5.187832832336426,N. Lingusamy,-5.797102451324463,True
Love Letter,director,low,20000,0,Kinuyo Tanaka,-6.102595329284668,N. Lingusamy,-5.098469257354736,False
Love Letter,director,low,30000,0,Kinuyo Tanaka,-5.660490036010742,N. Lingusamy,-5.069279670715332,False
Love Letter,director,low,40000,1,Kinuyo Tanaka,-6.678678512573242,N. Lingusamy,-5.496562957763672,False
Love Letter,director,low,50000,2,Kinuyo Tanaka,-5.055698394775391,N. Lingusamy,-5.1136603355407715,True
Love Letter,director,low,60000,2,Kinuyo Tanaka,-5.969460964202881,N. Lingusamy,-4.582645416259766,False
Love Letter,director,low,70000,2,Kinuyo Tanaka,-5.750550270080566,N. Lingusamy,-4.910039901733398,False
Love Letter,director,low,80000,2,Kinuyo Tanaka,-5.591407775878906,N. Lingusamy,-3.9602813720703125,False
Love Letter,director,low,90000,2,Kinuyo Tanaka,-5.263656139373779,N. Lingusamy,-4.260491371154785,False
Love Letter,director,low,100000,2,Kinuyo Tanaka,-4.642801284790039,N. Lingusamy,-3.9618523120880127,False
Love Letter,director,low,109672,2,Kinuyo Tanaka,-5.179317474365234,N. Lingusamy,-4.133567810058594,False
Interview,producer,low,0,0,Theo van Gogh,-11.684415817260742,Paul Feig,-11.359749794006348,False
Interview,producer,low,10000,1,Theo van Gogh,-5.2498040199279785,Paul Feig,-5.456171035766602,True
Interview,producer,low,20000,3,Theo van Gogh,-4.377969741821289,Tod Browning,-4.928194999694824,True
Interview,producer,low,30000,3,Theo van Gogh,-3.740185022354126,Paul Feig,-5.1106343269348145,True
Interview,producer,low,40000,3,Theo van Gogh,-3.49387788772583,Paul Feig,-5.414427280426025,True
Interview,producer,low,50000,4,Theo van Gogh,-3.799971342086792,Paul Feig,-4.372278213500977,True
Interview,producer,low,60000,4,Theo van Gogh,-3.6741738319396973,Paul Feig,-4.037216663360596,True
Interview,producer,low,70000,4,Theo van Gogh,-4.042949199676514,Paul Feig,-5.0897135734558105,True
Interview,producer,low,80000,5,Theo van Gogh,-3.8256773948669434,Paul Feig,-4.3964009284973145,True
Interview,producer,low,90000,6,Theo van Gogh,-3.63678240776062,Paul Feig,-4.3714165687561035,True
Interview,producer,low,100000,6,Theo van Gogh,-3.375397205352783,Tod Browning,-4.529452800750732,True
Interview,producer,low,109672,6,Theo van Gogh,-3.3325653076171875,Paul Feig,-4.756650924682617,True
Beyond Civilization,genre,low,0,0,non-fiction,-11.566709518432617,fantasy literature,-11.05805492401123,False
Beyond Civilization,genre,low,10000,0,non-fiction,-5.53129243850708,fantasy literature,-8.136052131652832,True
Beyond Civilization,genre,low,20000,1,non-fiction,-5.272101402282715,fantasy literature,-7.073243141174316,True
Beyond Civilization,genre,low,30000,1,non-fiction,-5.07151985168457,fantasy literature,-5.647158622741699,True
Beyond Civilization,genre,low,40000,1,non-fiction,-4.489831924438477,fantasy literature,-4.900059700012207,True
Beyond Civilization,genre,low,50000,1,non-fiction,-4.81278657913208,fantasy literature,-6.928414821624756,True
Beyond Civilization,genre,low,60000,1,non-fiction,-4.704489231109619,fantasy literature,-6.342718601226807,True
Beyond Civilization,genre,low,70000,1,non-fiction,-5.0202741622924805,fantasy literature,-6.63956880569458,True
Beyond Civilization,genre,low,80000,2,non-fiction,-5.249960899353027,fantasy literature,-6.346009254455566,True
Beyond Civilization,genre,low,90000,3,non-fiction,-4.524905681610107,fantasy literature,-5.457990646362305,True
Beyond Civilization,genre,low,100000,3,non-fiction,-4.88497257232666,fantasy literature,-5.845936298370361,True
Beyond Civilization,genre,low,109672,4,non-fiction,-4.6317138671875,fantasy literature,-5.649306297302246,True
Extraterrestrial,screenwriter,low,0,0,Nacho Vigalondo,-11.761895179748535,Rick Berman,-11.403945922851562,False
Extraterrestrial,screenwriter,low,10000,0,Nacho Vigalondo,-6.767195224761963,Jean-Luc Godard,-3.5715909004211426,False
Extraterrestrial,screenwriter,low,20000,0,Nacho Vigalondo,-6.422615051269531,Jean-Luc Godard,-2.703842878341675,False
Extraterrestrial,screenwriter,low,30000,0,Nacho Vigalondo,-7.237603187561035,Jean-Luc Godard,-2.325792074203491,False
Extraterrestrial,screenwriter,low,40000,0,Nacho Vigalondo,-7.01251745223999,Jean-Luc Godard,-3.072740316390991,False
Extraterrestrial,screenwriter,low,50000,0,Nacho Vigalondo,-5.642361164093018,Jean-Luc Godard,-1.9076855182647705,False
Extraterrestrial,screenwriter,low,60000,0,Nacho Vigalondo,-6.149423599243164,Jean-Luc Godard,-2.2694811820983887,False
Extraterrestrial,screenwriter,low,70000,0,Nacho Vigalondo,-5.972434043884277,Jean-Luc Godard,-2.2975406646728516,False
Extraterrestrial,screenwriter,low,80000,1,Nacho Vigalondo,-5.787759304046631,Jean-Luc Godard,-2.334113359451294,False
Extraterrestrial,screenwriter,low,90000,1,Nacho Vigalondo,-6.077095031738281,Jean-Luc Godard,-2.2827398777008057,False
Extraterrestrial,screenwriter,low,100000,4,Nacho Vigalondo,-5.341193199157715,Jean-Luc Godard,-2.261197090148926,False
Extraterrestrial,screenwriter,low,109672,4,Nacho Vigalondo,-5.176474571228027,Jean-Luc Godard,-2.3157882690429688,False
Up Front,genre,low,0,0,hardcore punk,-11.4149169921875,futurepop,-10.862650871276855,False
Up Front,genre,low,10000,0,hardcore punk,-5.484560489654541,hardstyle,-6.5597991943359375,True
Up Front,genre,low,20000,1,hardcore punk,-4.67948055267334,hardstyle,-7.142430782318115,True
Up Front,genre,low,30000,1,hardcore punk,-3.567491054534912,hardstyle,-5.640995025634766,True
Up Front,genre,low,40000,1,hardcore punk,-3.0770368576049805,hardstyle,-8.401447296142578,True
Up Front,genre,low,50000,1,hardcore punk,-4.025912284851074,hardstyle,-6.730617523193359,True
Up Front,genre,low,60000,3,hardcore punk,-3.8419904708862305,hardstyle,-5.906661033630371,True
Up Front,genre,low,70000,3,hardcore punk,-3.7840237617492676,hardstyle,-6.519127368927002,True
Up Front,genre,low,80000,4,hardcore punk,-2.5476126670837402,hardstyle,-5.858704090118408,True
Up Front,genre,low,90000,5,hardcore punk,-2.827760696411133,hardstyle,-6.218134880065918,True
Up Front,genre,low,100000,5,hardcore punk,-3.447880506515503,hardstyle,-6.3658528327941895,True
Up Front,genre,low,109672,5,hardcore punk,-3.61527943611145,hardstyle,-6.829331398010254,True
Great Day,director,low,0,0,Lance Comfort,-11.637016296386719,Scott McGehee,-11.359434127807617,False
Great Day,director,low,10000,1,Lance Comfort,-8.85072135925293,Scott McGehee,-4.631766319274902,False
Great Day,director,low,20000,1,Lance Comfort,-7.715643405914307,Scott McGehee,-4.219491958618164,False
Great Day,director,low,30000,1,Lance Comfort,-8.534637451171875,Scott McGehee,-4.618602752685547,False
Great Day,director,low,40000,1,Lance Comfort,-7.588872909545898,Scott McGehee,-5.6267290115356445,False
Great Day,director,low,50000,1,Lance Comfort,-7.821474075317383,Scott McGehee,-4.910233020782471,False
Great Day,director,low,60000,1,Lance Comfort,-8.777271270751953,Scott McGehee,-4.2389655113220215,False
Great Day,director,low,70000,2,Lance Comfort,-8.806526184082031,Scott McGehee,-4.670755386352539,False
Great Day,director,low,80000,4,Lance Comfort,-8.118318557739258,Scott McGehee,-4.707897186279297,False
Great Day,director,low,90000,5,Lance Comfort,-6.568731307983398,Scott McGehee,-4.4390482902526855,False
Great Day,director,low,100000,5,Lance Comfort,-6.329366683959961,Scott McGehee,-4.289475917816162,False
Great Day,director,low,109672,6,Lance Comfort,-7.118568420410156,Scott McGehee,-4.6136908531188965,False
The Eagle,screenwriter,low,0,0,Leonard Buczkowski,-11.5821533203125,Park Chan-wook,-11.552698135375977,False
The Eagle,screenwriter,low,10000,1,Leonard Buczkowski,-5.7505998611450195,Park Chan-wook,-4.970379829406738,False
The Eagle,screenwriter,low,20000,1,Leonard Buczkowski,-5.2604265213012695,Park Chan-wook,-3.6336028575897217,False
The Eagle,screenwriter,low,30000,1,Leonard Buczkowski,-4.635440349578857,Park Chan-wook,-4.346563339233398,False
The Eagle,screenwriter,low,40000,1,Leonard Buczkowski,-5.6701202392578125,Park Chan-wook,-4.70037841796875,False
The Eagle,screenwriter,low,50000,1,Leonard Buczkowski,-4.646897315979004,Park Chan-wook,-4.1472015380859375,False
The Eagle,screenwriter,low,60000,2,Leonard Buczkowski,-4.591338157653809,Park Chan-wook,-4.161241054534912,False
The Eagle,screenwriter,low,70000,2,Leonard Buczkowski,-4.744875907897949,Park Chan-wook,-3.4541409015655518,False
The Eagle,screenwriter,low,80000,2,Leonard Buczkowski,-4.64280366897583,Park Chan-wook,-2.6756949424743652,False
The Eagle,screenwriter,low,90000,2,Leonard Buczkowski,-4.216386318206787,Park Chan-wook,-3.3424580097198486,False
The Eagle,screenwriter,low,100000,2,Leonard Buczkowski,-4.790982246398926,Park Chan-wook,-3.273244857788086,False
The Eagle,screenwriter,low,109672,2,Leonard Buczkowski,-4.504475116729736,Park Chan-wook,-3.0742342472076416,False
Desire,director,low,0,0,Colleen Murphy,-11.59504222869873,John Bruno,-11.01976203918457,False
Desire,director,low,10000,0,Colleen Murphy,-5.20848274230957,Gustaf Molander,-5.673120975494385,True
Desire,director,low,20000,1,Colleen Murphy,-5.482672214508057,Gustaf Molander,-4.146937847137451,False
Desire,director,low,30000,1,Colleen Murphy,-5.722705841064453,Gustaf Molander,-4.226372241973877,False
Desire,director,low,40000,1,Colleen Murphy,-6.205197811126709,Gustaf Molander,-5.810695171356201,False
Desire,director,low,50000,3,Colleen Murphy,-5.591634273529053,Gustaf Molander,-3.8169736862182617,False
Desire,director,low,60000,4,Colleen Murphy,-5.500646591186523,Gustaf Molander,-4.4865803718566895,False
Desire,director,low,70000,4,Colleen Murphy,-5.775523662567139,Gustaf Molander,-4.2288103103637695,False
Desire,director,low,80000,4,Colleen Murphy,-5.000984191894531,Gustaf Molander,-4.145288467407227,False
Desire,director,low,90000,4,Colleen Murphy,-5.287435531616211,Gustaf Molander,-4.708752155303955,False
Desire,director,low,100000,4,Colleen Murphy,-5.233148097991943,Gustaf Molander,-3.948937177658081,False
Desire,director,low,109672,4,Colleen Murphy,-4.473435878753662,Gustaf Molander,-4.226691722869873,False
Demonia,director,low,0,0,Lucio Fulci,-11.798060417175293,Stephen Frears,-11.693703651428223,False
Demonia,director,low,10000,0,Lucio Fulci,-4.352270603179932,Sergio Corbucci,-4.1216721534729,False
Demonia,director,low,20000,0,Lucio Fulci,-5.039716720581055,Sergio Corbucci,-4.487924098968506,False
Demonia,director,low,30000,1,Lucio Fulci,-3.447042465209961,Sergio Corbucci,-3.934697151184082,True
Demonia,director,low,40000,1,Lucio Fulci,-3.765515089035034,Sergio Corbucci,-4.286392688751221,True
Demonia,director,low,50000,1,Lucio Fulci,-3.1016199588775635,Sergio Corbucci,-3.4404468536376953,True
Demonia,director,low,60000,1,Lucio Fulci,-3.290123462677002,Sergio Corbucci,-3.5109927654266357,True
Demonia,director,low,70000,2,Lucio Fulci,-4.001995086669922,Sergio Corbucci,-3.5119450092315674,False
Demonia,director,low,80000,2,Lucio Fulci,-3.6071102619171143,Sergio Corbucci,-3.6336419582366943,True
Demonia,director,low,90000,4,Lucio Fulci,-3.3807640075683594,Sergio Corbucci,-3.69472599029541,True
Demonia,director,low,100000,4,Lucio Fulci,-4.223766803741455,Sergio Corbucci,-3.779128313064575,False
Demonia,director,low,109672,5,Lucio Fulci,-3.8889496326446533,Sergio Corbucci,-3.876405715942383,False
Current,composer,low,0,0,Devi Sri Prasad,-11.540669441223145,Christopher Tyng,-11.680079460144043,True
Current,composer,low,10000,0,Devi Sri Prasad,-5.40371036529541,Henry Russell,-5.621718883514404,True
Current,composer,low,20000,0,Devi Sri Prasad,-4.767543792724609,Christopher Tyng,-6.452917098999023,True
Current,composer,low,30000,0,Devi Sri Prasad,-3.9539732933044434,Christopher Tyng,-5.6110615730285645,True
Current,composer,low,40000,1,Devi Sri Prasad,-5.457648277282715,Henry Russell,-6.124353408813477,True
Current,composer,low,50000,1,Devi Sri Prasad,-4.333019256591797,Christopher Tyng,-6.027040481567383,True
Current,composer,low,60000,2,Devi Sri Prasad,-4.297397136688232,Christopher Tyng,-6.072652339935303,True
Current,composer,low,70000,2,Devi Sri Prasad,-4.390788555145264,Christopher Tyng,-5.970927715301514,True
Current,composer,low,80000,2,Devi Sri Prasad,-3.83575701713562,Christopher Tyng,-6.527553558349609,True
Current,composer,low,90000,2,Devi Sri Prasad,-3.7753243446350098,Christopher Tyng,-5.6230692863464355,True
Current,composer,low,100000,3,Devi Sri Prasad,-4.008244514465332,Christopher Tyng,-6.440799713134766,True
Current,composer,low,109672,5,Devi Sri Prasad,-4.088114261627197,Christopher Tyng,-5.903106212615967,True
George,father,low,0,0,David VII of Georgia,-11.396636962890625,Surinder Kapoor,-11.716136932373047,True
George,father,low,10000,2,David VII of Georgia,-5.995819091796875,Surinder Kapoor,-7.485273361206055,True
George,father,low,20000,2,David VII of Georgia,-5.8024468421936035,Muteesa I,-7.718190670013428,True
George,father,low,30000,3,David VII of Georgia,-5.019476413726807,Muteesa I,-7.153783798217773,True
George,father,low,40000,3,David VII of Georgia,-5.086160659790039,Muteesa I,-6.046718120574951,True
George,father,low,50000,3,David VII of Georgia,-5.404714584350586,Muteesa I,-7.079495429992676,True
George,father,low,60000,3,David VII of Georgia,-5.039658546447754,Muteesa I,-6.7294769287109375,True
George,father,low,70000,3,David VII of Georgia,-5.325195789337158,Surinder Kapoor,-6.62635612487793,True
George,father,low,80000,4,David VII of Georgia,-4.379725933074951,Muteesa I,-5.63651180267334,True
George,father,low,90000,4,David VII of Georgia,-4.682029724121094,Muteesa I,-5.161342620849609,True
George,father,low,100000,4,David VII of Georgia,-4.97967004776001,Muteesa I,-5.638666152954102,True
George,father,low,109672,4,David VII of Georgia,-4.571505546569824,Muteesa I,-4.749967575073242,True
Early Spring,director,low,0,0,Astrid Henning-Jensen,-11.415356636047363,Anne Wheeler,-11.407184600830078,False
Early Spring,director,low,10000,1,Astrid Henning-Jensen,-6.114949703216553,Eran Kolirin,-6.9231390953063965,True
Early Spring,director,low,20000,1,Astrid Henning-Jensen,-4.927506923675537,Anne Wheeler,-7.304571151733398,True
Early Spring,director,low,30000,1,Astrid Henning-Jensen,-5.174276828765869,Eran Kolirin,-6.218674659729004,True
Early Spring,director,low,40000,2,Astrid Henning-Jensen,-5.2038044929504395,Eran Kolirin,-6.26922607421875,True
Early Spring,director,low,50000,2,Astrid Henning-Jensen,-5.365970611572266,Anne Wheeler,-6.879961013793945,True
Early Spring,director,low,60000,2,Astrid Henning-Jensen,-4.424248218536377,Eran Kolirin,-6.319998264312744,True
Early Spring,director,low,70000,3,Astrid Henning-Jensen,-4.476769924163818,Eran Kolirin,-6.165438175201416,True
Early Spring,director,low,80000,4,Astrid Henning-Jensen,-4.484275817871094,Eran Kolirin,-6.6988983154296875,True
Early Spring,director,low,90000,4,Astrid Henning-Jensen,-4.553807258605957,Eran Kolirin,-6.389359951019287,True
Early Spring,director,low,100000,4,Astrid Henning-Jensen,-4.5518622398376465,Eran Kolirin,-6.629004001617432,True
